Time,Open,High,Low,Close,Volume
31.12.2017 23:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 00:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 01:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 02:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 03:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 04:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 05:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 06:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 07:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 08:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 09:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 10:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 11:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 12:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 13:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 14:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 15:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 16:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 17:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 18:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 19:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 20:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 21:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 22:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
01.01.2018 23:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
02.01.2018 00:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
02.01.2018 01:30:00.000 GMT+0330,1302.622,1302.622,1302.622,1302.622,0
02.01.2018 02:30:00.000 GMT+0330,1302.922,1307.602,1302.231,1306.711,1626430.035
02.01.2018 03:30:00.000 GMT+0330,1306.711,1307.308,1305.211,1306.292,2392189.98
02.01.2018 04:30:00.000 GMT+0330,1306.291,1306.952,1304.171,1306.141,2997380.018
02.01.2018 05:30:00.000 GMT+0330,1306.142,1306.772,1305.418,1305.949,2441420.078
02.01.2018 06:30:00.000 GMT+0330,1305.941,1307.422,1305.381,1306.438,2557650.089
02.01.2018 07:30:00.000 GMT+0330,1306.438,1307.252,1306.311,1307.162,1781149.983
02.01.2018 08:30:00.000 GMT+0330,1307.161,1307.621,1306.771,1307.379,2177769.899
02.01.2018 09:30:00.000 GMT+0330,1307.381,1309.979,1307.371,1309.921,3405230.045
02.01.2018 10:30:00.000 GMT+0330,1309.902,1310.252,1308.802,1309.388,5541120.052
02.01.2018 11:30:00.000 GMT+0330,1309.388,1310.822,1308.469,1310.211,6110350.132
02.01.2018 12:30:00.000 GMT+0330,1310.188,1312.359,1309.962,1312.239,6199329.853
02.01.2018 13:30:00.000 GMT+0330,1312.172,1312.832,1310.122,1311.842,7430779.934
02.01.2018 14:30:00.000 GMT+0330,1311.841,1312.272,1310.141,1310.161,5249929.905
02.01.2018 15:30:00.000 GMT+0330,1310.151,1312.582,1310.078,1312.061,5515439.987
02.01.2018 16:30:00.000 GMT+0330,1312.061,1314.372,1311.868,1313.888,7978340.149
02.01.2018 17:30:00.000 GMT+0330,1313.861,1314.531,1312.211,1312.631,9460450.172
02.01.2018 18:30:00.000 GMT+0330,1312.632,1313.572,1310.832,1312.201,9690420.151
02.01.2018 19:30:00.000 GMT+0330,1312.221,1313.601,1311.268,1311.308,6770870.209
02.01.2018 20:30:00.000 GMT+0330,1311.232,1312.441,1311.191,1312.402,4927800.179
02.01.2018 21:30:00.000 GMT+0330,1312.461,1314.812,1312.371,1314.512,5280360.222
02.01.2018 22:30:00.000 GMT+0330,1314.511,1316.162,1314.461,1315.942,3769750.118
02.01.2018 23:30:00.000 GMT+0330,1315.941,1318.472,1315.658,1318.272,4656990.051
03.01.2018 00:30:00.000 GMT+0330,1318.272,1318.852,1316.859,1316.958,1851899.982
03.01.2018 01:30:00.000 GMT+0330,1316.958,1316.958,1316.958,1316.958,0
03.01.2018 02:30:00.000 GMT+0330,1317.502,1321.401,1317.091,1320.211,2193505.049
03.01.2018 03:30:00.000 GMT+0330,1320.251,1321.281,1320.131,1320.611,3136080.027
03.01.2018 04:30:00.000 GMT+0330,1320.611,1320.612,1316.92,1318.221,6616580.01
03.01.2018 05:30:00.000 GMT+0330,1318.212,1318.371,1312,1312.201,7633453.846
03.01.2018 06:30:00.000 GMT+0330,1312.312,1314.662,1312,1314.071,4280809.879
03.01.2018 07:30:00.000 GMT+0330,1314.062,1314.071,1312.281,1313.581,2730420.113
03.01.2018 08:30:00.000 GMT+0330,1313.581,1314.732,1313.281,1314.591,2227329.969
03.01.2018 09:30:00.000 GMT+0330,1314.592,1315.401,1312.892,1313.192,4080200.195
03.01.2018 10:30:00.000 GMT+0330,1313.171,1314.238,1312,1313.632,5720086.098
03.01.2018 11:30:00.000 GMT+0330,1313.631,1315.131,1313.421,1314.328,5075230.122
03.01.2018 12:30:00.000 GMT+0330,1314.328,1314.882,1313.859,1314.581,4394100.189
03.01.2018 13:30:00.000 GMT+0330,1314.582,1314.958,1313.571,1314.032,4808629.99
03.01.2018 14:30:00.000 GMT+0330,1314.031,1316.248,1313.618,1315.641,3486180.067
