Open_imp,High_imp,Low_imp,Close_imp,Volume_imp,step_1_imp,step_2_imp,step_3_imp,step_4_imp,step_5_imp,step_6_imp,step_7_imp,step_8_imp,step_9_imp,step_10_imp,step_11_imp,step_12_imp,step_13_imp,step_14_imp,step_15_imp,step_16_imp,step_17_imp,step_18_imp,step_19_imp,step_20_imp,step_21_imp,step_22_imp,step_23_imp,step_24_imp
0.17423992,0.1685599,0.17669675,0.19616751,0.28433594,0.05287369,0.049415734,0.017711628,0.037524596,0.015359177,0.058730982,0.024810553,0.029514892,0.028064571,0.03243317,0.06955056,0.060637314,0.03800925,0.039921623,0.046699587,0.03195964,0.018844105,0.034862347,0.023769973,0.067584746,0.07155351,0.024395749,0.0988594,0.02691321
0.22014807,0.11530265,0.17543499,0.2171876,0.2719266,0.053232618,0.058582347,0.035494234,0.017305572,0.042453654,0.051834106,0.03036467,0.013854692,0.03242398,0.05013963,0.022654425,0.01119464,0.03400356,0.032115333,0.038348656,0.054589324,0.06233094,0.05775014,0.03998244,0.06358635,0.051356792,0.048659753,0.047388073,0.050354134
0.12220325,0.17589572,0.15792713,0.23909092,0.30488294,0.0375804,0.046264082,0.055580515,0.018358696,0.061341017,0.023344504,0.03945584,0.0600853,0.04402459,0.052879777,0.053053062,0.014697447,0.022164816,0.033257287,0.034233004,0.046352673,0.040930938,0.053561296,0.05644125,0.067166716,0.02859436,0.03552917,0.029480597,0.045622643
0.20908698,0.1442079,0.15796961,0.20633706,0.2823984,0.025099516,0.03872094,0.060170036,0.044552963,0.033493396,0.07083055,0.047364622,0.052170288,0.056147285,0.019576414,0.023355635,0.04153709,0.04246051,0.036873437,0.04323911,0.023499265,0.016298743,0.054525193,0.046561696,0.0689359,0.029126614,0.03907946,0.019169588,0.06721177
0.17298251,0.14937265,0.22507115,0.14680724,0.30576646,0.04506239,0.07165934,0.03833128,0.03141441,0.031393323,0.030593036,0.04562886,0.04500345,0.03911312,0.02017618,0.020770837,0.044124186,0.031623337,0.04872173,0.053244174,0.039029952,0.06868836,0.034913577,0.03913184,0.03996399,0.059043866,0.044989713,0.023511354,0.053867683
0.22742727,0.1701148,0.15540378,0.15743777,0.28961644,0.052518953,0.046863332,0.039857678,0.0502334,0.016941197,0.022914149,0.0297501,0.01976461,0.021025047,0.016573574,0.03589311,0.024452085,0.041401934,0.039462194,0.027177459,0.041754022,0.031402167,0.040362068,0.061332896,0.08578725,0.05837134,0.03038761,0.053079784,0.11269404
0.18088794,0.17552747,0.1396028,0.16908725,0.3348945,0.023768924,0.025043454,0.027562574,0.028086489,0.05637932,0.074832834,0.02011634,0.037270736,0.039468423,0.030766722,0.019145047,0.076912686,0.032656092,0.04049696,0.08667572,0.045272943,0.017183471,0.019461982,0.056880694,0.034316193,0.020706479,0.055174027,0.015568988,0.11625287
0.16926719,0.17793292,0.1714059,0.18020564,0.30118832,0.035827424,0.052374423,0.082238555,0.055440877,0.07703406,0.031107789,0.04324144,0.036371347,0.03429057,0.045993265,0.034843806,0.020529551,0.03862076,0.04789088,0.014886726,0.049066372,0.033971313,0.03758666,0.020049356,0.03258143,0.042169396,0.05128753,0.03141057,0.05118585
0.2123126,0.15755095,0.20343034,0.16131487,0.26539123,0.04383523,0.027810207,0.025872165,0.04459561,0.033467665,0.031334978,0.031225165,0.036194403,0.06535383,0.039758768,0.035955925,0.05868393,0.0528503,0.06240308,0.050874032,0.030839488,0.05008354,0.04083306,0.03925208,0.057698917,0.030206699,0.03341912,0.033801842,0.043649953
0.1661678,0.22289541,0.19423406,0.15564477,0.26105788,0.05644797,0.042734142,0.056959067,0.079050794,0.06017651,0.029274348,0.0036408845,0.040433034,0.032373376,0.03668775,0.024184978,0.029916218,0.0077755307,0.06722438,0.05447766,0.06035754,0.053498633,0.027816473,0.014032812,0.034437932,0.027667653,0.012763008,0.014614015,0.13345528
