Layer,Unit,MSE_Difference
1,26,0.050910022
1,28,0.025295636
2,41,0.021544864
1,27,0.014987455
2,32,0.014875078
2,30,0.013660555
2,18,0.012511386
2,31,0.011922993
1,11,0.011633307
2,42,0.0081384815
2,27,0.0075440123
1,12,0.0072940825
1,35,0.006736119
1,19,0.006242032
2,34,0.0058289277
1,14,0.005494963
1,41,0.0054659364
2,37,0.005441033
2,48,0.0053311386
2,47,0.004833698
1,47,0.0040457034
1,37,0.0033498805
1,21,0.002801937
2,7,0.0026994855
1,7,0.0026617837
2,29,0.002659042
2,25,0.002633811
2,39,0.0025071956
2,19,0.002403477
2,8,0.0022180788
1,22,0.0022087411
1,50,0.0021470482
1,39,0.0020823197
2,26,0.0020430903
2,24,0.0017465532
1,32,0.0017221102
1,30,0.0016060602
2,22,0.0014705351
2,3,0.0014574522
1,23,0.0014211386
2,15,0.0013516096
1,38,0.001351197
1,36,0.0013225956
2,4,0.0013202374
2,1,0.0010132804
1,13,0.0010015952
2,16,0.0009030845
1,49,0.00083981483
2,13,0.00078543514
2,35,0.0007538159
2,20,0.00074536336
2,21,0.0006955651
2,2,0.0006885035
2,23,0.0006681877
1,6,0.0006668265
1,42,0.00063761923
1,5,0.00063302607
1,1,0.0006216965
1,29,0.000619568
2,36,0.00051046774
2,12,0.00048426242
2,5,0.00046054702
1,33,0.00045596343
2,40,0.00044997878
1,9,0.00044398342
1,10,0.0004200874
1,46,0.00041860217
2,14,0.00041664543
1,25,0.00041550706
1,31,0.00035894042
1,44,0.00034729333
1,20,0.00033221135
1,16,0.00029845032
2,50,0.00027198528
1,48,0.00025162112
1,2,0.00024680764
2,17,0.00021173018
1,40,0.00016565328
2,6,0.00015290799
1,18,0.00013815051
1,24,0.000127064
1,45,0.00012238845
2,11,0.000118384836
2,46,0.00010539135
2,9,9.92964e-05
1,17,8.563666e-05
2,44,8.179008e-05
1,43,7.70154e-05
1,3,7.68929e-05
1,4,7.2736955e-05
1,34,6.4668326e-05
2,45,6.3898995e-05
2,38,5.3007097e-05
1,15,4.9487742e-05
2,43,4.7745645e-05
2,28,4.6936988e-05
2,33,3.680815e-05
2,49,3.549625e-05
1,8,2.9679168e-05
2,10,1.6797592e-05
