Time,Open,High,Low,Close,Volume
12.05.2023 10:30:00.000 GMT+0330,2009.865,2012.555,2007.955,2008.714,3857649.999
12.05.2023 11:30:00.000 GMT+0330,2008.714,2009.655,2005.418,2006.554,4277049.98
12.05.2023 12:30:00.000 GMT+0330,2006.554,2007.035,2000.825,2002.745,3997680.01
12.05.2023 13:30:00.000 GMT+0330,2002.765,2007.574,2002.465,2006.035,2376019.976
12.05.2023 14:30:00.000 GMT+0330,2006.044,2006.084,2002.565,2004.684,3778730.024
12.05.2023 15:30:00.000 GMT+0330,2004.684,2015.744,2003.404,2014.054,7066270.068
12.05.2023 16:30:00.000 GMT+0330,2014.054,2022.494,2012.665,2020.004,9962140.054
12.05.2023 17:30:00.000 GMT+0330,2019.864,2021.384,2009.918,2011.174,8347569.998
12.05.2023 18:30:00.000 GMT+0330,2011.215,2012.265,2008.845,2009.304,2639249.998
12.05.2023 19:30:00.000 GMT+0330,2009.294,2013.614,2008.225,2013.614,2746359.988
12.05.2023 20:30:00.000 GMT+0330,2013.614,2016.304,2013.235,2014.435,2954560.008
12.05.2023 21:30:00.000 GMT+0330,2014.384,2015.525,2013.805,2014.344,2042969.99
12.05.2023 22:30:00.000 GMT+0330,2014.274,2014.534,2010.625,2010.825,1106509.998
12.05.2023 23:30:00.000 GMT+0330,2010.815,2011.375,2009.798,2009.798,277480.0009
15.05.2023 01:30:00.000 GMT+0330,2007.498,2011.885,2006.998,2010.904,532899.9954
15.05.2023 02:30:00.000 GMT+0330,2010.904,2010.914,2009.284,2009.504,921750.0005
15.05.2023 03:30:00.000 GMT+0330,2009.504,2011.975,2008.595,2011.924,886050.0029
15.05.2023 04:30:00.000 GMT+0330,2011.924,2018.744,2011.924,2017.475,4586439.992
15.05.2023 05:30:00.000 GMT+0330,2017.495,2017.685,2013.278,2013.415,2207909.995
15.05.2023 06:30:00.000 GMT+0330,2013.404,2014.865,2013.125,2013.914,1686230.003
15.05.2023 07:30:00.000 GMT+0330,2013.914,2014.624,2013.444,2014.144,1230200.007
15.05.2023 08:30:00.000 GMT+0330,2014.134,2019.135,2013.204,2016.805,3087280.015
15.05.2023 09:30:00.000 GMT+0330,2016.784,2016.965,2013.825,2016.435,4095400.013
15.05.2023 10:30:00.000 GMT+0330,2016.435,2019.934,2016.265,2018.334,5796300.031
