iter	RMSE
0	0.9474317638
1	0.8882485254
2	0.8364373028
3	0.7907437784
4	0.7499103536
5	0.7141027216
6	0.684247379
7	0.6579133401
8	0.6353970006
9	0.6154492953
10	0.5983799704
11	0.5849052564
12	0.5718789065
13	0.5610783804
14	0.5517151873
15	0.5420408884
16	0.5350355937
17	0.5282901416
18	0.5228477628
19	0.5178320704
20	0.5130492466
21	0.5089059618
22	0.5048698675
23	0.5012887007
24	0.4986558182
25	0.4959435261
26	0.4935975017
27	0.4916083498
28	0.4898124073
29	0.4878715982
30	0.4861717129
31	0.4850053929
32	0.4834336033
33	0.4817235452
34	0.4806062872
35	0.4795510391
36	0.4784533901
37	0.4771952015
38	0.4761160961
39	0.4753501778
40	0.474691667
41	0.4740115098
42	0.4731982789
43	0.4722348324
44	0.4714901525
45	0.4705337312
46	0.4696505746
47	0.4689258499
48	0.4680518545
49	0.467470873
50	0.4669134609
51	0.4661925271
52	0.4656563343
53	0.4648963542
54	0.4642173464
55	0.4637411924
56	0.4631902096
57	0.4625603811
58	0.4620643465
59	0.4616910137
60	0.4610397723
61	0.4605067503
62	0.4598332503
63	0.4594427
64	0.4588813092
65	0.4585333738
66	0.4580442759
67	0.4573534319
68	0.4567852937
69	0.4564121376
70	0.4558865341
71	0.4554328324
72	0.4552062402
73	0.4549076465
74	0.4543768952
75	0.4541209632
76	0.4538111441
77	0.4531815987
78	0.4528242792
79	0.4524522058
80	0.4519929223
81	0.4516818608
82	0.4510285249
83	0.4507922594
84	0.4504755817
85	0.4501731722
86	0.4498012902
87	0.4494299334
88	0.4492819485
89	0.4488271086
90	0.4486710911
91	0.4481780716
92	0.4478542905
93	0.4474684385
94	0.4470643732
95	0.4465100721
96	0.4461366785
97	0.4457381166
98	0.4454637073
99	0.4449421635
100	0.4444717082
101	0.4441978895
102	0.4438393885
103	0.4434544623
104	0.4431807484
105	0.442675425
106	0.4423366036
107	0.441996699
108	0.4416057284
109	0.4411461899
110	0.4406231662
111	0.440385775
112	0.4400482109
113	0.439566839
114	0.4391968914
115	0.4387660596
116	0.4384505648
117	0.4381060981
118	0.4377750257
119	0.4374657853
120	0.4369635228
121	0.4365532806
122	0.4362249018
123	0.4359465163
124	0.4354781536
125	0.4349845547
126	0.4346800972
127	0.4342245761
128	0.4339405075
129	0.4336165102
130	0.4333697419
131	0.4331182541
132	0.4327105506
133	0.4324544265
134	0.4320066846
