iter	Passed	Remaining
0	149	149418
1	158	79330
2	168	56146
3	178	44489
4	190	37853
5	203	33674
6	214	30404
7	224	27874
8	236	26039
9	247	24515
10	258	23233
11	270	22274
12	283	21513
13	295	20846
14	309	20346
15	322	19827
16	335	19408
17	348	19037
18	362	18692
19	375	18395
20	388	18121
21	402	17888
22	417	17739
23	431	17559
24	445	17374
25	459	17231
26	474	17086
27	488	16947
28	501	16795
29	515	16661
30	529	16551
31	542	16419
32	559	16384
33	572	16268
34	585	16137
35	598	16038
36	613	15969
37	629	15924
38	643	15850
39	659	15817
40	673	15759
41	689	15725
42	703	15657
43	715	15547
44	726	15425
45	739	15327
46	750	15216
47	762	15122
48	774	15028
49	785	14927
50	798	14850
51	809	14758
52	820	14669
53	832	14580
54	844	14511
55	857	14460
56	868	14372
57	879	14283
58	890	14200
59	900	14108
60	911	14033
61	923	13964
62	934	13895
63	945	13823
64	956	13759
65	967	13686
66	978	13620
67	989	13557
68	999	13492
69	1009	13414
70	1019	13342
71	1031	13289
72	1041	13227
73	1052	13168
74	1062	13107
75	1073	13056
76	1084	12999
77	1095	12948
78	1107	12906
79	1119	12874
80	1132	12850
81	1145	12825
82	1157	12786
83	1169	12752
84	1181	12723
85	1193	12689
86	1205	12655
87	1217	12615
88	1229	12582
89	1240	12541
90	1252	12510
91	1264	12481
92	1275	12441
93	1287	12405
94	1298	12368
95	1309	12333
96	1321	12301
97	1333	12272
98	1344	12238
99	1355	12201
100	1366	12164
101	1376	12121
102	1386	12077
103	1397	12040
104	1408	12004
105	1418	11959
106	1427	11910
107	1436	11867
108	1446	11822
109	1455	11778
110	1465	11735
111	1474	11693
112	1484	11652
113	1494	11615
114	1504	11579
115	1514	11541
116	1525	11513
117	1537	11490
118	1548	11467
119	1560	11445
120	1571	11418
121	1582	11387
122	1593	11359
123	1604	11333
124	1616	11312
125	1627	11289
126	1638	11265
127	1651	11248
128	1662	11223
129	1673	11198
130	1684	11172
131	1695	11145
132	1706	11126
133	1718	11106
134	1729	11083
135	1741	11063
136	1752	11037
137	1763	11013
138	1773	10985
139	1785	10968
140	1797	10949
141	1810	10936
142	1821	10917
143	1831	10890
144	1842	10862
145	1852	10835
146	1862	10810
147	1873	10786
148	1883	10758
149	1893	10728
150	1904	10705
151	1915	10686
152	1925	10659
153	1935	10633
154	1945	10608
155	1955	10577
156	1965	10551
157	1974	10521
158	1983	10489
159	1992	10459
160	2001	10428
161	2010	10398
162	2018	10366
163	2027	10337
164	2037	10311
165	2047	10287
166	2057	10263
167	2067	10241
168	2077	10216
169	2087	10193
170	2097	10169
171	2106	10142
172	2116	10117
173	2126	10095
174	2135	10069
175	2146	10048
176	2156	10026
177	2166	10002
178	2175	9977
179	2185	9955
180	2195	9934
181	2204	9910
182	2214	9885
183	2224	9866
184	2234	9845
185	2244	9824
186	2255	9805
187	2265	9783
188	2275	9763
189	2284	9741
190	2293	9715
191	2302	9691
192	2311	9666
193	2320	9642
194	2329	9617
195	2338	9593
196	2348	9571
197	2358	9551
198	2367	9530
199	2378	9512
200	2388	9495
201	2399	9478
202	2409	9458
203	2419	9439
204	2428	9419
205	2438	9398
206	2447	9376
207	2457	9357
208	2467	9337
209	2476	9315
210	2485	9294
211	2494	9272
212	2504	9253
213	2513	9232
214	2524	9215
215	2534	9198
216	2544	9180
217	2555	9166
218	2566	9151
219	2576	9133
220	2586	9116
221	2596	9099
222	2606	9081
223	2617	9066
224	2626	9047
225	2636	9029
226	2647	9015
227	2657	8998
228	2668	8984
229	2679	8969
230	2689	8951
231	2699	8935
232	2709	8918
233	2719	8903
234	2729	8886
235	2740	8870
236	2749	8853
237	2759	8835
238	2771	8823
239	2780	8804
240	2790	8787
241	2799	8768
242	2809	8751
243	2818	8733
244	2828	8715
245	2837	8696
246	2847	8679
247	2857	8663
248	2866	8645
249	2875	8627
250	2885	8609
251	2894	8591
252	2904	8574
253	2914	8559
254	2923	8542
255	2933	8524
256	2942	8507
257	2952	8491
258	2963	8477
259	2972	8461
260	2982	8444
261	2991	8427
262	3001	8409
263	3011	8395
264	3021	8380
265	3031	8364
266	3041	8350
267	3052	8336
268	3062	8321
269	3072	8306
270	3082	8293
271	3093	8278
272	3102	8263
273	3113	8248
274	3123	8234
275	3134	8221
276	3144	8208
277	3155	8194
278	3166	8182
279	3176	8168
280	3186	8153
281	3196	8137
282	3206	8123
283	3216	8108
284	3227	8096
285	3237	8083
286	3247	8067
287	3257	8052
288	3267	8038
289	3277	8024
290	3286	8008
